isMonday,isTuesday,isWednesday,isThursday,isFriday,Date,High,Low,Close,Volume
0,1,0,0,0,4/27/2021,10.14,9.83,10.44,225392984
1,0,0,0,0,4/26/2021,10.24,9.64,9.96,208192984
0,0,0,0,1,4/23/2021,10.56,10.12,10.02,200482594
0,0,0,1,0,4/22/2021,10.8,10.5,10.22,180306000
0,0,1,0,0,4/21/2021,10.64,10.5,10.5,173819016
0,1,0,0,0,4/20/2021,10.84,10.48,10.54,170328000
1,0,0,0,0,4/19/2021,10.86,10.68,10.52,169782703
0,0,0,0,1,4/16/2021,10.86,10.42,10.74,161466094
0,0,0,1,0,4/15/2021,10.86,10.6,10.7,156770000
0,0,1,0,0,4/14/2021,10.84,10.54,10.62,152236609
0,1,0,0,0,4/13/2021,11.16,10.54,10.7,148160891
1,0,0,0,0,04/12/2021,11.3,11.02,10.6,147283391
0,0,0,1,0,04/08/2021,11.14,10.76,11.02,144786094
0,0,1,0,0,04/07/2021,11.38,11.02,10.98,144259703
0,1,0,0,0,04/06/2021,11.18,10.42,11.04,144173406
1,0,0,0,0,04/05/2021,10.42,10.02,11.08,143364000
0,0,1,0,0,3/31/2021,10.22,10.06,10.26,137627594
0,1,0,0,0,3/30/2021,10.46,10.1,10.16,130417000
1,0,0,0,0,3/29/2021,10.26,9.61,10.2,129105000
0,0,0,0,1,3/26/2021,10.62,10.18,10.22,127933695
0,0,0,1,0,3/25/2021,10.36,10,10.42,127679000
0,0,1,0,0,03/10/2021,11.6,8.5,10.36,115174000
0,1,0,0,0,03/09/2021,13.6,12,9,113490000
1,0,0,0,0,03/08/2021,15.44,12.72,12,111633000
0,0,0,0,1,03/05/2021,15.74,15,13.9,111269000
0,0,0,1,0,03/04/2021,16.16,15.24,15.24,108826703
0,0,1,0,0,03/03/2021,15.74,14.5,15.52,108328000
0,1,0,0,0,03/02/2021,15.92,15.02,15.72,107410000
1,0,0,0,0,03/01/2021,16.78,16.04,15.06,106663602
0,0,0,0,1,2/26/2021,16.48,15.12,16.12,106441906
0,0,1,0,0,2/24/2021,17.42,14.4,16.14,105111906
0,1,0,0,0,2/23/2021,19,17.8,16,104498000
1,0,0,0,0,2/22/2021,18.38,17.8,17.8,104424000
0,0,0,1,0,02/04/2021,14.1,13.04,18.12,98138492
0,0,1,0,0,02/03/2021,14.44,13.5,13.98,97677000
0,1,0,0,0,02/02/2021,13.66,12.72,13.5,94242000
1,0,0,0,0,02/01/2021,12.6,11.9,13.66,92620000
0,0,0,0,1,1/29/2021,12.1,11.7,12.5,92281000
0,0,0,1,0,1/28/2021,12.3,11.54,12,89606398
0,0,1,0,0,1/27/2021,11.92,10.76,11.92,87956305
0,1,0,0,0,1/26/2021,12.1,11,11.76,87311000
1,0,0,0,0,1/25/2021,12.66,11.96,11.02,86089398
0,0,0,0,1,1/22/2021,12.88,12.1,12.16,85590094
0,0,0,1,0,1/21/2021,12.4,10.6,12.3,85485000
0,0,1,0,0,1/20/2021,11.42,10.7,12.1,83964000
0,1,0,0,0,1/19/2021,11.9,11.12,10.94,80912000
1,0,0,0,0,1/18/2021,12.08,11.9,11.34,79919000
0,0,0,0,1,1/15/2021,12.4,11.92,11.9,79420000
0,0,0,1,0,1/14/2021,12.4,11.8,12.08,79158203
0,0,1,0,0,1/13/2021,12.64,11.62,12.14,77960000
0,1,0,0,0,01/12/2021,12.38,11.7,12.08,77354000
1,0,0,0,0,01/11/2021,13.28,12.6,11.96,77026000
0,0,0,0,1,01/08/2021,13.6,12.9,12.68,76444000
0,0,0,1,0,01/07/2021,12.94,10.92,13.12,76220898
0,0,1,0,0,01/06/2021,13.4,10.06,12.7,75090398
0,1,0,0,0,12/15/2020,7.85,7.68,12.26,69310703
1,0,0,0,0,12/14/2020,7.83,7.55,7.72,69166602
0,0,0,0,1,12/11/2020,7.49,7.17,7.74,67529000
0,0,0,1,0,12/10/2020,7.25,7.07,7.46,65390898
0,0,1,0,0,12/09/2020,7.53,7.15,7.17,65278000
1,0,0,0,0,12/07/2020,7.64,7,7.25,64512000
0,0,0,0,1,12/04/2020,7,6.86,7.61,63782898
0,0,0,1,0,12/03/2020,6.92,6.74,6.92,63339000
0,0,1,0,0,12/02/2020,6.69,6.47,6.86,63054000
0,1,0,0,0,12/01/2020,6.45,6.35,6.69,62603000
0,0,0,0,1,11/27/2020,6.4,6.23,6.44,62309000
0,0,0,1,0,11/26/2020,6.35,6.21,6.35,62278000
0,0,1,0,0,11/25/2020,6.48,6.13,6.23,61740000
0,1,0,0,0,11/24/2020,6.35,6.21,6.26,60949000
1,0,0,0,0,11/23/2020,6.47,6.27,6.25,60459000
0,0,0,0,1,11/20/2020,6.45,6.21,6.32,59269000
0,0,0,1,0,11/19/2020,6.53,6.31,6.4,58104398
0,0,1,0,0,11/18/2020,6.87,6.31,6.39,57761102
0,0,1,0,0,11/11/2020,7.05,6.26,6.54,57570000
1,0,0,0,0,11/09/2020,6.18,5.7,6.3,57306801
0,0,0,0,1,11/06/2020,6.14,4.8,5.88,57052398
0,0,1,0,0,10/21/2020,6.27,6.12,6.11,51949000
0,1,0,0,0,10/20/2020,6.28,6.08,6.2,51232199
1,0,0,0,0,10/19/2020,6.34,5.94,6.11,51206801
0,0,0,0,1,10/16/2020,6.19,6.01,6.24,51183500
0,0,0,1,0,10/15/2020,6.37,6.1,6.1,51037602
0,0,1,0,0,10/14/2020,6.25,5.85,6.19,50648898
0,1,0,0,0,10/13/2020,6.04,5.8,6.21,50327000
1,0,0,0,0,10/12/2020,6.56,6.12,5.96,49310898
0,0,0,0,1,10/09/2020,6.22,5.82,6.16,49209500
0,0,0,1,0,10/08/2020,6.17,5.33,6.16,49106000
0,0,1,0,0,10/07/2020,7.1,5.55,5.74,48950000
0,1,0,0,0,10/06/2020,8.05,5.2,5.77,48377898
1,0,0,0,0,10/05/2020,6.84,5.81,6.81,47706000
0,0,0,0,1,10/02/2020,5.9,5.31,6.81,47364898
0,0,0,1,0,10/01/2020,5.94,4.9,5.76,47328000
0,0,1,0,0,9/30/2020,5,4.8,5.3,47293199
0,1,0,0,0,9/29/2020,4.99,4.59,4.9,47168801
1,0,0,0,0,9/28/2020,4.55,4.24,4.99,46919602
0,0,0,0,1,9/25/2020,4.2,4.08,4.49,46406000
0,0,0,1,0,9/24/2020,4.18,4.04,4.2,46141301
0,0,1,0,0,9/23/2020,4.18,4,4.1,45615301
0,1,0,0,0,09/08/2020,3.3,3.26,4.12,42900000
1,0,0,0,0,09/07/2020,3.31,3.24,3.28,42637801
0,0,0,0,1,09/04/2020,3.3,3.23,3.25,42344102
0,0,0,1,0,09/03/2020,3.38,3.3,3.29,42192000
0,0,1,0,0,09/02/2020,3.33,3.21,3.33,42151000
0,1,0,0,0,09/01/2020,3.41,3.32,3.31,42135000
0,0,0,0,1,8/28/2020,3.43,3.34,3.33,41910000
0,0,0,1,0,8/27/2020,3.39,3.24,3.35,41836898
0,0,1,0,0,8/26/2020,3.4,3.26,3.39,41784000
0,1,0,0,0,8/25/2020,3.52,3.32,3.29,41468000
1,0,0,0,0,8/24/2020,3.22,3.15,3.35,41034000
0,0,0,1,0,8/20/2020,3.2,3.11,3.2,40507000
0,0,1,0,0,8/19/2020,3.35,3.2,3.15,40247000
0,1,0,0,0,8/18/2020,3.36,3.27,3.22,39949801
1,0,0,0,0,8/17/2020,3.24,3.13,3.32,39831000
0,0,0,0,1,8/14/2020,3.13,3.05,3.24,39675500
0,0,0,1,0,8/13/2020,3.12,2.95,3.1,39592602
0,0,1,0,0,08/12/2020,3.2,3.01,3.1,39554000
0,1,0,0,0,08/11/2020,3.13,3,3.05,39078500
1,0,0,0,0,08/10/2020,2.97,2.78,3.1,38911000
0,0,0,0,1,08/07/2020,2.8,2.74,2.97,38797000
0,0,1,0,0,7/22/2020,3.02,2.88,2.76,35412602
0,1,0,0,0,7/21/2020,3.02,2.94,2.88,35163199
1,0,0,0,0,7/20/2020,3.03,2.9,2.97,35141602
0,0,0,0,1,7/17/2020,3.02,2.82,3,35073000
0,0,0,1,0,7/16/2020,2.93,2.76,3.01,34769000
0,0,1,0,0,7/15/2020,2.98,2.77,2.92,34370000
0,1,0,0,0,7/14/2020,3.1,2.9,2.79,34155000
1,0,0,0,0,7/13/2020,3.14,2.87,2.9,34058602
0,0,0,0,1,07/10/2020,3.08,2.95,3.05,33773199
0,0,0,1,0,07/09/2020,3.15,3.03,3.01,33493000
0,0,1,0,0,07/08/2020,3.3,3.05,3.08,33437801
0,1,0,0,0,07/07/2020,3.24,3,3.1,33158000
1,0,0,0,0,07/06/2020,3.04,2.76,3.23,32599100
0,0,0,0,1,07/03/2020,3.46,3,3.04,32469600
0,0,0,1,0,07/02/2020,3.55,3.22,3.04,32327000
0,0,1,0,0,07/01/2020,3.83,3.63,3.44,32172400
0,1,0,0,0,6/30/2020,3.77,3.61,3.77,32137000
1,0,0,0,0,6/29/2020,3.76,3.5,3.7,32029000
0,0,0,0,1,6/26/2020,3.71,3.48,3.68,31707301
0,0,0,1,0,6/25/2020,3.58,3.42,3.65,31628000
0,0,1,0,0,6/24/2020,3.83,3.58,3.44,31385000
1,0,0,0,0,06/08/2020,2.84,2.63,3.6,28764900
0,0,0,0,1,06/05/2020,2.61,2.45,2.81,28055301
0,0,0,1,0,06/04/2020,2.66,2.5,2.6,28043000
0,0,1,0,0,06/03/2020,2.62,2.45,2.54,27691500
0,1,0,0,0,06/02/2020,2.42,2.34,2.61,27579000
1,0,0,0,0,06/01/2020,2.34,2.27,2.42,27420000
0,0,0,0,1,5/29/2020,2.26,2.18,2.32,27165500
0,0,0,1,0,5/28/2020,2.25,2.19,2.25,27043699
0,0,1,0,0,5/27/2020,2.22,2.13,2.2,26830000
0,1,0,0,0,5/26/2020,2.25,2.12,2.21,26822000
0,0,0,0,1,5/22/2020,2.32,2.21,2.17,26657000
0,0,0,1,0,5/21/2020,2.27,2.15,2.21,26519000
0,0,1,0,0,5/20/2020,2.2,2.13,2.27,26460400
0,1,0,0,0,5/19/2020,2.25,2.17,2.16,26211000
1,0,0,0,0,5/18/2020,2.25,2.15,2.19,26170699
0,0,0,0,1,5/15/2020,2.15,2.1,2.2,26139301
0,0,0,1,0,5/14/2020,2.15,2.09,2.14,25734900
0,0,1,0,0,5/13/2020,2.17,2.1,2.11,25637199
0,1,0,0,0,05/12/2020,2.15,2.08,2.14,25396000
1,0,0,0,0,05/11/2020,2.1,2.03,2.15,25200100
0,0,0,0,1,05/08/2020,2.2,2.05,2.09,25130900
0,0,1,0,0,4/22/2020,2.32,2.17,2.1,24149199
0,1,0,0,0,4/21/2020,2.37,2.16,2.29,24128000
1,0,0,0,0,4/20/2020,2.35,2.13,2.32,24116801
0,0,0,0,1,4/17/2020,2.1,1.92,2.33,24091000
0,0,0,1,0,4/16/2020,1.93,1.83,2.09,24072600
0,0,1,0,0,4/15/2020,2.06,1.91,1.9,23866000
0,1,0,0,0,4/14/2020,2.01,1.87,1.94,23778699
1,0,0,0,0,4/13/2020,1.87,1.7,1.97,23611000
0,0,1,0,0,04/08/2020,1.7,1.63,1.85,23133000
0,1,0,0,0,04/07/2020,1.78,1.65,1.7,23038801
1,0,0,0,0,04/06/2020,1.68,1.6,1.66,22873000
0,0,0,0,1,04/03/2020,1.63,1.55,1.68,22855301
0,0,0,1,0,04/02/2020,1.62,1.5,1.58,22832000
0,0,1,0,0,04/01/2020,1.78,1.57,1.58,22584000
0,1,0,0,0,3/31/2020,1.7,1.56,1.6,22225199
1,0,0,0,0,3/30/2020,1.59,1.44,1.7,21882000
0,0,0,0,1,3/27/2020,1.67,1.33,1.53,21781600
0,0,0,1,0,3/26/2020,1.45,1.32,1.53,21685000
0,0,1,0,0,3/25/2020,1.32,1.21,1.44,21484000
0,1,0,0,0,3/24/2020,1.21,1.12,1.29,21378100
1,0,0,0,0,3/23/2020,1.14,1.05,1.19,21361900
0,0,1,0,0,03/04/2020,1.72,1.53,1.11,19043000
0,1,0,0,0,03/03/2020,1.63,1.52,1.72,18710000
1,0,0,0,0,03/02/2020,1.63,1.51,1.52,18686000
0,0,0,0,1,2/28/2020,1.71,1.6,1.54,18657000
0,0,0,1,0,2/27/2020,1.74,1.64,1.63,18645699
0,0,1,0,0,2/26/2020,1.72,1.51,1.69,18504000
1,0,0,0,0,2/24/2020,1.68,1.56,1.7,18474699
0,0,0,0,1,2/21/2020,1.8,1.65,1.59,18379000
0,0,0,1,0,2/20/2020,1.93,1.76,1.68,18248000
0,0,1,0,0,2/19/2020,1.91,1.82,1.82,18137000
0,1,0,0,0,2/18/2020,2.07,1.8,1.86,17904000
1,0,0,0,0,2/17/2020,2.06,1.87,1.82,17828000
0,0,0,0,1,2/14/2020,1.93,1.76,2,17819000
0,0,0,1,0,2/13/2020,2.07,1.79,1.9,17710000
0,0,1,0,0,02/12/2020,2.37,1.94,1.84,17461000
0,1,0,0,0,02/11/2020,2.3,2.07,1.98,17394000
1,0,0,0,0,02/10/2020,2.55,2.05,2.23,17263301
0,0,0,0,1,02/07/2020,2.74,2.24,2.11,17256801
0,0,0,1,0,02/06/2020,3.05,2.73,2.43,17213500
0,0,1,0,0,02/05/2020,3.17,2.79,2.74,17092699
0,1,0,0,0,02/04/2020,3.42,3.05,3.02,17057000
1,0,0,0,0,02/03/2020,3.35,3.17,3.06,17041000
0,0,0,0,1,1/17/2020,3.92,3.66,3.3,16128000
0,0,0,1,0,1/16/2020,4.2,3.8,3.92,16081000
0,0,1,0,0,1/15/2020,4.1,3.92,3.8,16071600
0,1,0,0,0,1/14/2020,4.03,3.75,4.1,16071000
0,0,0,0,1,01/10/2020,3.78,3.7,4,16032000
0,0,0,1,0,01/09/2020,3.71,3.6,3.73,15922000
0,0,1,0,0,01/08/2020,3.74,3.58,3.68,15204300
0,1,0,0,0,01/07/2020,3.7,3.49,3.64,15000300
1,0,0,0,0,01/06/2020,3.75,3.53,3.7,14871000
0,0,0,0,1,01/03/2020,4,3.76,3.63,14740000
1,0,0,1,0,01/02/2020,4.01,3.52,3.78,14712000
0,0,0,0,1,12/27/2019,3.46,3.31,3.88,14663000
0,0,0,1,0,12/26/2019,3.49,3.1,3.44,14629700
1,0,0,0,0,12/23/2019,3.1,2.87,3.37,14461000
0,0,0,0,1,12/20/2019,3,2.85,3.1,14422000
0,0,0,1,0,12/19/2019,3.05,2.92,2.9,14363800
0,0,1,0,0,12/18/2019,3.05,2.9,2.96,14315000
0,1,0,0,0,12/17/2019,3.29,2.86,3.05,14055400
1,0,0,0,0,12/16/2019,3.4,3.29,3.05,13996000
0,0,0,0,1,12/13/2019,3.47,3.27,3.29,13979000
0,0,0,1,0,12/12/2019,3.4,3.19,3.35,13911200
0,0,1,0,0,12/11/2019,3.66,3.21,3.4,13771000
0,1,0,0,0,11/26/2019,4.24,4.16,3.35,12931000
1,0,0,0,0,11/25/2019,4.3,4.18,4.18,12821000
0,0,0,0,1,11/22/2019,4.35,4.16,4.2,12706000
0,0,0,1,0,11/21/2019,4.58,4.28,4.19,12595000
0,0,1,0,0,11/20/2019,4.67,4.47,4.31,12578000
0,1,0,0,0,11/19/2019,4.7,4.6,4.5,12573000
1,0,0,0,0,11/18/2019,4.7,4.62,4.6,12567400
0,0,0,0,1,11/15/2019,4.72,4.61,4.69,12480000
0,0,0,1,0,11/14/2019,4.73,4.68,4.67,12390600
0,0,1,0,0,11/13/2019,4.73,4.68,4.7,12274000
0,1,0,0,0,11/12/2019,4.79,4.7,4.68,12255000
1,0,0,0,0,11/11/2019,4.81,4.77,4.71,12248600
0,0,0,0,1,11/08/2019,4.8,4.73,4.78,12139900
0,0,0,1,0,11/07/2019,4.78,4.73,4.77,11917000
0,0,1,0,0,11/06/2019,4.83,4.74,4.75,11912000
0,1,0,0,0,11/05/2019,4.8,4.7,4.77,11894600
1,0,0,0,0,11/04/2019,4.8,4.73,4.79,11838700
0,0,0,1,0,10/31/2019,4.8,4.6,4.77,11834100
0,0,1,0,0,10/30/2019,4.8,4.73,4.73,11815200
0,1,0,0,0,10/29/2019,4.83,4.72,4.78,11808500
1,0,0,0,0,10/28/2019,5.04,4.81,4.75,11751000
0,0,0,0,1,10/25/2019,5.06,4.96,4.85,11711100
0,0,0,1,0,10/10/2019,4.98,4.87,4.99,10329000
0,0,1,0,0,10/09/2019,5.02,4.91,4.96,10221000
0,1,0,0,0,10/08/2019,5.03,4.95,4.95,10206000
1,0,0,0,0,10/07/2019,5.03,4.87,5,10192000
0,0,0,0,1,10/04/2019,5.1,4.94,4.97,10187900
0,0,0,1,0,10/03/2019,5,4.95,5,10147400
0,0,1,0,0,10/02/2019,5.12,4.91,5,10071000
0,1,0,0,0,10/01/2019,5.08,4.94,5,9957000
1,0,0,0,0,9/30/2019,5.09,4.9,4.97,9839000
0,0,0,0,1,9/27/2019,5.13,4.96,5.03,9807000
0,0,0,1,0,9/26/2019,5.14,4.95,4.97,9782000
0,0,1,0,0,9/25/2019,5.26,4.94,5.08,9754000
0,1,0,0,0,9/24/2019,5.34,5.09,5.05,9686000
1,0,0,0,0,9/23/2019,5.39,5.28,5.17,9616400
0,0,0,0,1,9/20/2019,5.47,5.26,5.32,9544000
0,0,0,1,0,9/19/2019,5.38,5.31,5.41,9534000
0,0,1,0,0,9/18/2019,5.4,5.27,5.31,9494400
0,1,0,0,0,9/17/2019,5.39,5.21,5.35,9287000
1,0,0,0,0,9/16/2019,5.52,5.3,5.28,9247500
0,0,0,0,1,9/13/2019,5.6,5.4,5.32,9221000
1,0,0,1,0,09/12/2019,5.56,5.44,5.5,9170700
0,0,1,0,0,8/28/2019,5.02,4.65,5.56,8174700
0,1,0,0,0,8/27/2019,5.07,4.75,4.96,8167300
0,0,0,0,1,8/23/2019,5.25,4.52,4.9,8108000
0,0,0,1,0,8/22/2019,5.05,4.75,5.04,8068000
0,1,0,0,0,8/20/2019,5.1,5.04,4.75,8067000
1,0,0,0,0,8/19/2019,5.16,5.04,5.05,8061200
0,0,0,0,1,8/16/2019,5.13,5.04,5.09,8059100
0,0,0,1,0,8/15/2019,5.21,5.04,5.13,8056700
0,0,1,0,0,8/14/2019,5.29,5.18,5.05,8040800
0,1,0,0,0,8/13/2019,5.43,5.15,5.25,8040700
0,0,0,0,1,08/09/2019,5.43,5.1,5.2,7920200
0,0,0,1,0,08/08/2019,5.25,5.13,5.35,7846000
