Date,High,Low,Volume,Close
05/12/2021,9.7,9.16,12390600,9.16
05/11/2021,9.67,9.3,17213500,9.5
05/10/2021,9.85,9.65,5076800,9.66
05/07/2021,9.95,9.76,4215600,9.8
05/06/2021,9.92,9.76,8410000,9.9
05/05/2021,9.9,9.64,7920200,9.76
05/04/2021,9.96,9.51,16071600,9.63
05/03/2021,10.1,9.93,6597900,9.97
04/30/2021,10.28,10.06,4377000,10.1
04/29/2021,10.48,10.14,7338000,10.16
04/28/2021,10.46,9.85,16965301,10.44
04/27/2021,10.14,9.83,8849300,9.96
04/26/2021,10.24,9.64,38117301,10.02
04/23/2021,10.56,10.12,23778699,10.22
04/22/2021,10.8,10.5,8059100,10.5
04/21/2021,10.64,10.5,4580600,10.54
04/20/2021,10.84,10.48,13911200,10.52
04/19/2021,10.86,10.68,6493000,10.74
04/16/2021,10.86,10.42,13158700,10.7
04/15/2021,10.86,10.6,6486600,10.62
04/14/2021,10.84,10.54,7684100,10.7
04/13/2021,11.16,10.54,17036199,10.6
04/12/2021,11.3,11.02,9247500,11.02
04/08/2021,11.14,10.76,15204300,10.98
04/07/2021,11.38,11.02,21378100,11.04
04/06/2021,11.18,10.42,51232199,11.08
04/05/2021,10.42,10.02,9170700,10.26
03/31/2021,10.22,10.06,8736100,10.16
03/30/2021,10.46,10.1,13763400,10.2
03/29/2021,10.26,9.61,24205400,10.22
03/26/2021,10.62,10.18,24641900,10.42
03/25/2021,10.36,10,27165500,10.36
03/24/2021,9.96,9.48,13366200,9.8
03/23/2021,10.16,9.6,24731400,9.84
03/22/2021,9.94,9.05,47293199,9.8
03/19/2021,10.6,9.91,44807699,10
03/18/2021,11.24,10.44,49209500,10.52
03/17/2021,10.9,10.26,39554000,10.64
03/16/2021,10.38,9.15,52614801,10.18
03/15/2021,11.4,9.15,147283391,9.85
03/12/2021,11.6,10.7,144173406,11.38
03/11/2021,11,8.43,325534031,10.5
03/10/2021,11.6,8.5,403894312,9
03/09/2021,13.6,12,125552602,12
03/08/2021,15.44,12.72,106663602,13.9
03/05/2021,15.74,15,17256801,15.24
03/04/2021,16.16,15.24,34058602,15.52
03/03/2021,15.74,14.5,73373203,15.72
03/02/2021,15.92,15.02,86089398,15.06
03/01/2021,16.78,16.04,34370000,16.12
02/26/2021,16.48,15.12,72311203,16.14
02/24/2021,17.42,14.4,324840094,16
