isMonday,isTuesday,isWednesday,isThursday,isFriday,Date,High,Low,Close,Volume
0,0,1,0,0,04/28/2021,10.46,9.85,10.44,245807016
0,1,0,0,0,04/27/2021,10.14,9.83,9.96,225392984
0,1,0,0,0,04/26/2021,10.24,9.64,10.02,208192984
0,1,0,0,0,04/23/2021,10.56,10.12,10.22,200482594
0,1,0,0,0,04/22/2021,10.8,10.5,10.5,180306000
0,1,0,0,0,04/21/2021,10.64,10.5,10.54,173819016
0,1,0,0,0,04/20/2021,10.84,10.48,10.52,170328000
0,1,0,0,0,04/19/2021,10.86,10.68,10.74,169782703
0,1,0,0,0,04/16/2021,10.86,10.42,10.7,161466094
0,1,0,0,0,04/15/2021,10.86,10.6,10.62,156770000
0,1,0,0,0,04/14/2021,10.84,10.54,10.7,152236609
0,1,0,0,0,04/13/2021,11.16,10.54,10.6,148160891
1,0,0,0,0,04/12/2021,11.3,11.02,11.02,147283391
1,0,0,0,0,04/08/2021,11.14,10.76,10.98,144786094
1,0,0,0,0,04/07/2021,11.38,11.02,11.04,144259703
1,0,0,0,0,04/06/2021,11.18,10.42,11.08,144173406
1,0,0,0,0,04/05/2021,10.42,10.02,10.26,143364000
1,0,0,0,0,03/31/2021,10.22,10.06,10.16,137627594
1,0,0,0,0,03/30/2021,10.46,10.1,10.2,130417000
1,0,0,0,0,03/29/2021,10.26,9.61,10.22,129105000
1,0,0,0,0,03/26/2021,10.62,10.18,10.42,127933695
1,0,0,0,0,03/25/2021,10.36,10,10.36,127679000
1,0,0,0,0,03/10/2021,11.6,8.5,9,115174000
1,0,0,0,0,03/09/2021,13.6,12,12,113490000
1,0,0,0,0,03/08/2021,15.44,12.72,13.9,111633000
1,0,0,0,0,03/05/2021,15.74,15,15.24,111269000
1,0,0,0,0,03/04/2021,16.16,15.24,15.52,108826703
1,0,0,0,0,03/03/2021,15.74,14.5,15.72,108328000
1,0,0,0,0,03/02/2021,15.92,15.02,15.06,107410000
1,0,0,0,0,03/01/2021,16.78,16.04,16.12,106663602
1,0,0,0,0,02/26/2021,16.48,15.12,16.14,106441906
1,0,0,0,0,02/24/2021,17.42,14.4,16,105111906
1,0,0,0,0,02/23/2021,19,17.8,17.8,104498000
1,0,0,0,0,02/22/2021,18.38,17.8,18.12,104424000
1,0,0,0,0,02/04/2021,14.1,13.04,13.98,98138492
1,0,0,0,0,02/03/2021,14.44,13.5,13.5,97677000
1,0,0,0,0,02/02/2021,13.66,12.72,13.66,94242000
1,0,0,0,0,02/01/2021,12.6,11.9,12.5,92620000
1,0,0,0,0,01/29/2021,12.1,11.7,12,92281000
1,0,0,0,0,01/28/2021,12.3,11.54,11.92,89606398
1,0,0,0,0,01/27/2021,11.92,10.76,11.76,87956305
1,0,0,0,0,01/26/2021,12.1,11,11.02,87311000
1,0,0,0,0,01/25/2021,12.66,11.96,12.16,86089398
1,0,0,0,0,01/22/2021,12.88,12.1,12.3,85590094
1,0,0,0,0,01/21/2021,12.4,10.6,12.1,85485000
1,0,0,0,0,01/20/2021,11.42,10.7,10.94,83964000
1,0,0,0,0,01/19/2021,11.9,11.12,11.34,80912000
1,0,0,0,0,01/18/2021,12.08,11.9,11.9,79919000
1,0,0,0,0,01/15/2021,12.4,11.92,12.08,79420000
1,0,0,0,0,01/14/2021,12.4,11.8,12.14,79158203
1,0,0,0,0,01/13/2021,12.64,11.62,12.08,77960000
1,0,0,0,0,01/12/2021,12.38,11.7,11.96,77354000
1,0,0,0,0,01/11/2021,13.28,12.6,12.68,77026000
1,0,0,0,0,01/08/2021,13.6,12.9,13.12,76444000
1,0,0,0,0,01/07/2021,12.94,10.92,12.7,76220898
1,0,0,0,0,01/06/2021,13.4,10.06,12.26,75090398
1,0,0,0,0,12/15/2020,7.85,7.68,7.72,69310703
1,0,0,0,0,12/14/2020,7.83,7.55,7.74,69166602
1,0,0,0,0,12/11/2020,7.49,7.17,7.46,67529000
1,0,0,0,0,12/10/2020,7.25,7.07,7.17,65390898
1,0,0,0,0,12/09/2020,7.53,7.15,7.25,65278000
1,0,0,0,0,12/07/2020,7.64,7,7.61,64512000
1,0,0,0,0,12/04/2020,7,6.86,6.92,63782898
1,0,0,0,0,12/03/2020,6.92,6.74,6.86,63339000
1,0,0,0,0,12/02/2020,6.69,6.47,6.69,63054000
1,0,0,0,0,12/01/2020,6.45,6.35,6.44,62603000
1,0,0,0,0,11/27/2020,6.4,6.23,6.35,62309000
1,0,0,0,0,11/26/2020,6.35,6.21,6.23,62278000
1,0,0,0,0,11/25/2020,6.48,6.13,6.26,61740000
1,0,0,0,0,11/24/2020,6.35,6.21,6.25,60949000
1,0,0,0,0,11/23/2020,6.47,6.27,6.32,60459000
1,0,0,0,0,11/20/2020,6.45,6.21,6.4,59269000
1,0,0,0,0,11/19/2020,6.53,6.31,6.39,58104398
1,0,0,0,0,11/18/2020,6.87,6.31,6.54,57761102
1,0,0,0,0,11/11/2020,7.05,6.26,6.3,57570000
1,0,0,0,0,11/09/2020,6.18,5.7,5.88,57306801
1,0,0,0,0,11/06/2020,6.14,4.8,6.11,57052398
1,0,0,0,0,10/21/2020,6.27,6.12,6.2,51949000
1,0,0,0,0,10/20/2020,6.28,6.08,6.11,51232199
1,0,0,0,0,10/19/2020,6.34,5.94,6.24,51206801
1,0,0,0,0,10/16/2020,6.19,6.01,6.1,51183500
1,0,0,0,0,10/15/2020,6.37,6.1,6.19,51037602
1,0,0,0,0,10/14/2020,6.25,5.85,6.21,50648898
1,0,0,0,0,10/13/2020,6.04,5.8,5.96,50327000
1,0,0,0,0,10/12/2020,6.56,6.12,6.16,49310898
1,0,0,0,0,10/09/2020,6.22,5.82,6.16,49209500
1,0,0,0,0,10/08/2020,6.17,5.33,5.74,49106000
1,0,0,0,0,10/07/2020,7.1,5.55,5.77,48950000
1,0,0,0,0,10/06/2020,8.05,5.2,6.81,48377898
1,0,0,0,0,10/05/2020,6.84,5.81,6.81,47706000
1,0,0,0,0,10/02/2020,5.9,5.31,5.76,47364898
1,0,0,0,0,10/01/2020,5.94,4.9,5.3,47328000
1,0,0,0,0,09/30/2020,5,4.8,4.9,47293199
1,0,0,0,0,09/29/2020,4.99,4.59,4.99,47168801
1,0,0,0,0,09/28/2020,4.55,4.24,4.49,46919602
1,0,0,0,0,09/25/2020,4.2,4.08,4.2,46406000
1,0,0,0,0,09/24/2020,4.18,4.04,4.1,46141301
1,0,0,0,0,09/23/2020,4.18,4,4.12,45615301
1,0,0,0,0,09/08/2020,3.3,3.26,3.28,42900000
1,0,0,0,0,09/07/2020,3.31,3.24,3.25,42637801
1,0,0,0,0,09/04/2020,3.3,3.23,3.29,42344102
