Date,Open,High,Low,Close,Volume,Percentage
05/10/2019,5.68,5.84,5.66,5.66,"5,442,600",0.017985612
05/09/2019,5.55,5.74,5.5,5.56,"2,307,500",0.001801802
05/08/2019,5.58,5.59,5.48,5.55,"1,312,300",0.010928962
05/07/2019,5.47,5.6,5.47,5.49,"1,532,200",0.016129032
05/06/2019,5.6,5.6,5.42,5.58,"1,191,100",0.012389381
05/03/2019,5.66,5.68,5.48,5.65,"1,979,500",0.058052434
05/02/2019,5.34,5.65,5.23,5.34,"3,509,400",0.074523397
04/30/2019,5.85,5.85,5.34,5.77,"8,040,800",0.140316206
04/29/2019,6,6.34,5.62,5.06,"27,043,699",0.009784736
04/26/2019,5.13,5.16,5,5.11,"1,383,900",0.042857143
04/25/2019,4.9,5.11,4.8,4.9,"2,627,000",0.012096774
04/24/2019,4.96,4.96,4.82,4.96,"643,000",0.013916501
04/23/2019,5.06,5.06,4.94,5.03,"878,800",0.016161616
04/22/2019,4.95,5.05,4.95,4.95,"790,000",0.002024291
04/17/2019,4.88,5,4.88,4.94,"978,000",0
04/16/2019,4.9,4.98,4.85,4.94,"891,000",0.015936255
04/15/2019,5.02,5.09,4.94,5.02,"1,098,100",0.027131783
04/12/2019,5.16,5.16,5.02,5.16,"1,227,000",0.011764706
04/11/2019,5.21,5.22,5.1,5.1,"1,244,100",0.055900621
04/10/2019,4.94,5.28,4.94,4.83,"3,771,000",0.016293279
04/08/2019,4.92,4.95,4.8,4.91,"1,262,000",0
04/05/2019,4.89,5.07,4.85,4.91,"2,086,000",0.01996008
04/04/2019,5.1,5.26,4.91,5.01,"6,426,800",0.10840708
04/03/2019,4.49,5.04,4.36,4.52,"11,912,000",0.06029106
04/02/2019,4.79,4.79,4.43,4.81,"8,530,000",0.085551331
04/01/2019,5.25,5.25,4.8,5.26,"13,108,000",0.005671078
03/29/2019,5.3,5.35,5.26,5.29,"1,227,600",0.005703422
03/28/2019,5.27,5.35,5.25,5.26,"1,290,800",0.022304833
03/27/2019,5.43,5.43,5.25,5.38,"3,179,200",0.003703704
03/26/2019,5.41,5.45,5.37,5.4,"1,472,200",0.019963702
03/25/2019,5.53,5.62,5.39,5.51,"1,740,800",0.011009174
03/22/2019,5.47,5.62,5.46,5.45,"2,577,700",0.007393715
03/21/2019,5.41,5.5,5.41,5.41,"938,800",0.009328358
03/20/2019,5.35,5.55,5.31,5.36,"1,680,400",0.009242144
03/19/2019,5.42,5.45,5.31,5.41,"2,407,900",0.040780142
03/18/2019,5.64,5.64,5.36,5.64,"3,138,700",0.005291005
03/15/2019,5.75,5.76,5.57,5.67,"3,570,100",0.04805915
03/14/2019,5.42,5.76,5.42,5.41,"3,966,400",0.024621212
03/13/2019,5.28,5.47,5.27,5.28,"2,774,000",0.029411765
03/12/2019,5.44,5.44,5.23,5.44,"5,924,900",0.03202847
03/11/2019,5.6,5.6,5.38,5.62,"6,928,500",0.01056338
03/08/2019,5.68,5.68,5.57,5.68,"2,568,000",0.012173913
03/07/2019,5.75,5.76,5.61,5.75,"3,509,800",0.001736111
03/06/2019,5.78,5.79,5.75,5.76,"1,166,100",0
03/05/2019,5.77,5.8,5.76,5.76,"1,075,900",0.018739353
03/04/2019,5.87,5.87,5.74,5.87,"3,995,000",0.008445946
03/01/2019,5.92,5.98,5.86,5.92,"1,737,700",0.001692047
02/28/2019,5.93,6,5.88,5.91,"1,754,500",0.005102041
02/27/2019,5.88,5.94,5.81,5.88,"2,193,400",0.006756757
02/26/2019,5.9,5.95,5.81,5.92,"3,347,700",0.010033445
02/22/2019,5.98,6.04,5.91,5.98,"2,326,500",0.008291874
02/21/2019,6,6.05,5.9,6.03,"1,437,200",0.010050251
02/20/2019,5.98,6.1,5.96,5.97,"2,145,800",0.011864407
02/19/2019,6,6.15,5.9,5.9,"4,880,600",0.048387097
02/18/2019,6.2,6.2,5.89,6.2,"12,248,600",0.015873016
02/15/2019,6.3,6.38,6.17,6.3,"3,969,500",0.004739336
02/14/2019,6.33,6.43,6.2,6.33,"3,376,800",0.034313725
02/13/2019,6.13,6.33,6.03,6.12,"6,670,600",0.040752351
02/12/2019,6.38,6.4,6.1,6.38,"14,055,400",0.018461538
02/11/2019,6.52,6.62,6.35,6.5,"7,200,300",0.007633588
02/08/2019,6.55,6.7,6.34,6.55,"10,533,700",0.028189911
02/07/2019,7.35,7.4,6.52,6.74,"63,782,898",0.081861958
02/06/2019,6.61,6.92,6.51,6.23,"28,772,100",0.037094281
02/04/2019,6.47,6.47,6.15,6.47,"10,422,900",0.041481481
02/01/2019,6.75,6.96,6.42,6.75,"28,043,000",0.073131955
01/31/2019,6.46,7.35,6.32,6.29,"71,089,797",0.095818815
01/30/2019,5.6,6.48,5.51,5.74,"33,773,199",0.020477816
01/29/2019,5.85,5.85,5.59,5.86,"11,834,100",0.02006689
01/28/2019,6.05,6.09,5.82,5.98,"8,056,700",0.035483871
01/25/2019,6.12,6.15,5.65,6.2,"11,894,600",0.028192371
01/24/2019,6.01,6.2,5.52,6.03,"25,734,900",0.01309329
01/23/2019,6.15,6.15,6.01,6.11,"2,486,400",0.013266998
01/22/2019,6.03,6.15,5.93,6.03,"4,292,100",0.036741214
01/21/2019,6.26,6.3,6,6.26,"11,711,100",0.021875
01/18/2019,6.41,6.47,6.2,6.4,"5,729,900",0.007874016
01/17/2019,6.4,6.51,6.37,6.35,"5,156,700",0.0078125
01/16/2019,6.46,6.46,6.31,6.4,"2,859,300",0.007874016
01/15/2019,6.39,6.52,6.3,6.35,"7,608,700",0.006339144
01/14/2019,6.34,6.41,6.31,6.31,"3,293,200",0.017741935
01/11/2019,6.27,6.39,6.24,6.2,"3,230,500",0.012738854
01/10/2019,6.29,6.31,6.15,6.28,"3,390,100",0.011272142
01/09/2019,6.2,6.36,6.11,6.21,"5,366,300",0.043143297
01/08/2019,6.49,6.49,6.15,6.49,"13,354,700",0.026898734
01/07/2019,6.4,6.59,6.35,6.32,"22,225,199",0.044628099
01/04/2019,6.1,6.35,6.1,6.05,"13,086,500",0.020236088
01/03/2019,5.92,6.1,5.86,5.93,"4,209,800",0.016583748
01/02/2019,6,6.03,5.84,6.03,"5,399,100",0.019512195
12/28/2018,6.15,6.15,6.01,6.15,"6,120,000",0.004854369
12/27/2018,6.27,6.28,6.02,6.18,"6,572,200",0.026578073
12/26/2018,6.02,6.24,5.95,6.02,"10,206,000",0.023809524
12/21/2018,5.87,6.13,5.8,5.88,"11,429,200",0.01010101
12/20/2018,5.96,6.01,5.77,5.94,"4,765,700",0.055062167
12/19/2018,5.69,6.01,5.62,5.63,"8,167,300",0.015734266
12/18/2018,5.72,5.74,5.55,5.72,"4,940,100",0.013793103
12/17/2018,5.8,5.83,5.72,5.8,"3,287,300",0
12/14/2018,5.9,5.92,5.71,5.8,"3,894,400",0.013986014
12/13/2018,5.71,5.95,5.62,5.72,"8,174,700",0.080385852
12/12/2018,6.3,6.42,5.7,6.22,"33,437,801",0.083623693
12/11/2018,5.9,6.26,5.8,5.74,"31,707,301",0.032374101
12/10/2018,5.5,5.8,5.32,5.56,"14,629,700",0.065546218
12/07/2018,5.83,5.85,5.4,5.95,"26,139,301",0.005016722
12/06/2018,5.9,6.05,5.81,5.98,"11,300,900",0.026058632
12/05/2018,6.13,6.41,5.92,6.14,"16,260,400",0.008077544
12/04/2018,6.19,6.25,5.85,6.19,"16,513,400",0.034321373
12/03/2018,6.72,6.78,6.02,6.41,"32,469,600",0.225621415
11/29/2018,5.3,6.52,5.27,5.23,"65,390,898",0.164536741
11/28/2018,6,6.02,5.13,6.26,"65,278,000",0.027950311
11/27/2018,6.44,6.6,6,6.44,"39,675,500",0.031578947
11/26/2018,6.57,6.7,6.2,6.65,"19,401,900",0.020618557
11/23/2018,6.9,6.97,6.42,6.79,"24,670,600",0.077777778
11/22/2018,6.3,6.89,6.07,6.3,"57,052,398",0.186046512
11/21/2018,7.5,7.53,6.06,7.74,"118,557,203",0.056097561
11/20/2018,8.45,8.45,7.73,8.2,"62,278,000",0.04993598
11/19/2018,8.4,8.57,7.95,7.81,"57,306,801",0.002554278
11/16/2018,7.75,8,7.53,7.83,"47,364,898",0.056626506
11/15/2018,7.8,8.48,7.8,8.3,"89,606,398",0.024691358
11/14/2018,8.2,8.62,7.66,8.1,"101,113,508",0.08
11/13/2018,7.84,8.26,7.58,7.5,"152,236,609",0.102941176
11/12/2018,7,7.52,6.8,6.8,"121,423,602",0.079365079
11/09/2018,6.2,6.86,5.81,6.3,"101,154,797",0.135135135
11/08/2018,6.5,7.88,5.8,5.55,"252,749,109",0.350364964
11/07/2018,4.24,5.9,3.71,4.11,"245,807,016",0.256880734
11/06/2018,3.28,4.35,3.28,3.27,"83,964,000",0.021875
11/05/2018,3.2,3.36,3.15,3.2,"9,686,000",0.015384615
10/31/2018,3.3,3.3,3.16,3.25,"7,268,000",0.012158055
10/30/2018,3.3,3.37,3.21,3.29,"6,862,000",0.046376812
10/29/2018,3.4,3.42,3.24,3.45,"14,871,000",0.074766355
10/26/2018,3.4,3.87,3.3,3.21,"77,026,000",0.025559105
10/18/2018,3.14,3.27,3.08,3.13,"12,255,000",0.083044983
10/17/2018,2.93,3.17,2.9,2.89,"17,461,000",0
10/16/2018,2.88,2.94,2.81,2.89,"3,608,000",0.010273973
10/15/2018,2.92,3.04,2.86,2.92,"4,133,000",0.06959707
10/12/2018,2.7,3.02,2.65,2.73,"8,316,000",0.011111111
10/11/2018,2.65,2.73,2.6,2.7,"4,264,000",0.02661597
10/10/2018,2.72,2.74,2.65,2.63,"4,333,000",0.08677686
10/09/2018,2.45,2.69,2.44,2.42,"9,221,000",0.016260163
10/08/2018,2.46,2.55,2.41,2.46,"2,662,000",0.037974684
10/05/2018,2.37,2.49,2.37,2.37,"2,061,000",0.017167382
10/04/2018,2.35,2.43,2.35,2.33,"3,342,000",0.048979592
10/03/2018,2.46,2.5,2.32,2.45,"3,871,000",0.008097166
10/02/2018,2.47,2.47,2.3,2.47,"6,814,000",0.127208481
10/01/2018,2.78,2.78,2.42,2.83,"16,560,000",0.034129693
09/28/2018,2.94,3.01,2.82,2.93,"4,290,000",0.020905923
09/27/2018,2.85,2.94,2.78,2.87,"2,809,000",0.059016393
09/26/2018,3.05,3.05,2.81,3.05,"6,099,000",0.012944984
09/25/2018,3.12,3.13,3.01,3.09,"4,197,000",0.06185567
09/24/2018,2.98,3.14,2.92,2.91,"13,378,000",0.017482517
09/21/2018,2.83,2.95,2.78,2.86,"6,351,000",0.007042254
09/20/2018,2.85,2.91,2.74,2.84,"1,468,000",0.003508772
09/19/2018,2.92,2.92,2.72,2.85,"3,463,000",0.003496503
09/18/2018,2.86,2.94,2.82,2.86,"1,594,000",0.013793103
09/17/2018,2.91,2.91,2.83,2.9,"967,000",0.010452962
09/14/2018,2.87,2.94,2.81,2.87,"2,921,000",0.020477816
09/13/2018,2.97,2.97,2.86,2.93,"2,317,000",0.042704626
09/12/2018,2.85,3.05,2.85,2.81,"7,599,000",0.014035088
09/11/2018,2.89,2.89,2.74,2.85,"9,782,000",0.023972603
09/10/2018,2.95,2.95,2.79,2.92,"3,883,000",0.006896552
09/07/2018,2.9,2.94,2.88,2.9,"1,639,000",0.023569024
09/06/2018,3.01,3.03,2.86,2.97,"16,081,000",0.060126582
09/05/2018,3.19,3.22,2.95,3.16,"12,274,000",0.012820513
09/04/2018,3.15,3.21,3.09,3.12,"7,846,000",0.016286645
09/03/2018,3.13,3.17,3.07,3.07,"4,668,000",0.019169329
08/31/2018,3.19,3.21,3.07,3.13,"4,507,000",0.019543974
08/30/2018,3.14,3.15,3.06,3.07,"3,619,000",0.031545741
08/29/2018,3.21,3.27,3.04,3.17,"11,232,000",0.04620462
08/28/2018,3.03,3.21,3.02,3.03,"8,067,000",0.01
08/24/2018,2.97,3.05,2.94,3,"2,308,000",0.006711409
08/23/2018,2.98,3.05,2.9,2.98,"3,874,000",0.020547945
08/22/2018,2.92,3.04,2.87,2.92,"4,624,000",0.051948052
08/20/2018,3.1,3.1,2.9,3.08,"8,216,000",0.034482759
08/17/2018,3.27,3.39,3,3.19,"16,832,000",0.147482014
08/16/2018,2.98,3.26,2.83,2.78,"36,964,000",0.04467354
08/15/2018,2.93,2.95,2.78,2.91,"4,998,000",0.003448276
08/14/2018,2.9,2.96,2.83,2.9,"3,810,000",0.039735099
08/13/2018,3.03,3.03,2.78,3.02,"14,663,000",0.019480519
08/10/2018,3,3.15,2.98,3.08,"7,679,000",0.066666667
