Date,Open,High,Low,Close,Volume
05/12/2021,9.5,9.7,9.16,9.5,403894312
05/11/2021,9.66,9.67,9.3,9.66,355083094
05/10/2021,9.8,9.85,9.65,9.8,325534031
05/07/2021,9.9,9.95,9.76,9.9,324840094
05/06/2021,9.76,9.92,9.76,9.76,263194719
05/05/2021,9.65,9.9,9.64,9.63,262668906
05/04/2021,9.96,9.96,9.51,9.97,257080797
05/03/2021,10.1,10.1,9.93,10.1,256993703
04/30/2021,10.16,10.28,10.06,10.16,252749109
04/29/2021,10.46,10.48,10.14,10.44,250134203
04/28/2021,9.97,10.46,9.85,9.96,245807016
04/27/2021,10.02,10.14,9.83,10.02,225392984
04/26/2021,10.22,10.24,9.64,10.22,208192984
04/23/2021,10.52,10.56,10.12,10.5,200482594
04/22/2021,10.56,10.8,10.5,10.54,180306000
04/21/2021,10.52,10.64,10.5,10.52,173819016
04/20/2021,10.74,10.84,10.48,10.74,170328000
04/19/2021,10.84,10.86,10.68,10.7,169782703
04/16/2021,10.62,10.86,10.42,10.62,161466094
04/15/2021,10.72,10.86,10.6,10.7,156770000
04/14/2021,10.54,10.84,10.54,10.6,152236609
04/13/2021,11.16,11.16,10.54,11.02,148160891
04/12/2021,11.1,11.3,11.02,10.98,147283391
04/08/2021,11.1,11.14,10.76,11.04,144786094
04/07/2021,11.34,11.38,11.02,11.08,144259703
04/06/2021,10.44,11.18,10.42,10.26,144173406
04/05/2021,10.16,10.42,10.02,10.16,143364000
03/31/2021,10.18,10.22,10.06,10.2,137627594
03/30/2021,10.2,10.46,10.1,10.22,130417000
03/29/2021,9.98,10.26,9.61,10.42,129105000
03/26/2021,10.5,10.62,10.18,10.36,127933695
03/25/2021,10.1,10.36,10,9.8,127679000
03/24/2021,9.84,9.96,9.48,9.84,125552602
03/23/2021,9.8,10.16,9.6,9.8,124208000
03/22/2021,9.35,9.94,9.05,10,123156000
03/19/2021,10.5,10.6,9.91,10.52,122995398
03/18/2021,11,11.24,10.44,10.64,122927398
03/17/2021,10.26,10.9,10.26,10.18,121423602
03/16/2021,9.5,10.38,9.15,9.85,120417000
03/15/2021,11.4,11.4,9.15,11.38,119228094
03/12/2021,10.88,11.6,10.7,10.5,118557203
03/11/2021,8.5,11,8.43,9,115843906
03/10/2021,11.38,11.6,8.5,12,115174000
03/09/2021,12.8,13.6,12,13.9,113490000
03/08/2021,15.24,15.44,12.72,15.24,111633000
03/05/2021,15.5,15.74,15,15.52,111269000
03/04/2021,15.82,16.16,15.24,15.72,108826703
03/03/2021,14.98,15.74,14.5,15.06,108328000
03/02/2021,15.8,15.92,15.02,16.12,107410000
03/01/2021,16.26,16.78,16.04,16.14,106663602
02/26/2021,15.3,16.48,15.12,16,106441906
